episode,episode_length,total_env_steps,total_reward
584,266,197479,246.1217
585,310,197789,240.8291
586,344,198133,249.0640
587,203,198336,234.6085
588,199,198535,234.9866
589,318,198853,288.2157
590,411,199264,188.0094
591,292,199556,298.3445
592,242,199798,223.7864
593,311,200109,281.9825
594,277,200386,221.6898
595,238,200624,273.2031
596,153,200777,224.2520
597,100,200877,2.5278
598,245,201122,246.4895
599,238,201360,304.3848
600,198,201558,237.3261
601,227,201785,242.7301
602,492,202277,196.4070
603,283,202560,251.4582
604,282,202842,259.2248
605,341,203183,269.2698
606,189,203372,204.2125
607,201,203573,248.6063
608,184,203757,226.5389
609,213,203970,208.6666
610,176,204146,276.0149
611,193,204339,258.9290
612,173,204512,250.4770
613,189,204701,233.2507
614,293,204994,259.2954
615,604,205598,239.5283
616,239,205837,292.3868
617,489,206326,237.5756
618,174,206500,281.4006
619,986,207486,101.3877
620,201,207687,233.8467
621,350,208037,289.4854
622,246,208283,228.7582
623,117,208400,-26.2659
624,191,208591,271.0537
625,185,208776,222.8424
626,316,209092,237.0157
627,251,209343,287.3239
628,170,209513,284.9372
629,144,209657,261.8358
630,182,209839,264.1229
631,180,210019,269.3668
632,162,210181,284.2134
633,171,210352,265.6215
634,98,210450,21.4249
635,161,210611,249.4000
636,168,210779,238.0213
637,147,210926,240.7123
638,453,211379,237.1310
639,176,211555,274.7071
640,255,211810,277.6154
641,109,211919,30.5884
642,127,212046,40.5373
643,176,212222,263.6338
644,540,212762,203.6320
645,261,213023,313.5500
646,415,213438,254.8636
647,492,213930,180.2510
648,206,214136,258.6096
649,268,214404,241.0119
650,158,214562,238.5614
651,214,214776,247.6951
652,243,215019,279.3197
653,118,215137,35.1021
654,124,215261,-5.4715
655,288,215549,298.7113
656,181,215730,270.8743
657,289,216019,265.6285
658,220,216239,277.6053
659,189,216428,269.7059
660,471,216899,151.8623
661,162,217061,285.7972
662,272,217333,248.5622
663,166,217499,251.0008
664,150,217649,246.5197
665,220,217869,257.2340
666,425,218294,263.1049
667,734,219028,125.3807
668,658,219686,160.6196
669,240,219926,278.7433
670,183,220109,269.0009
671,306,220415,236.3291
672,275,220690,246.0104
673,252,220942,279.8238
674,187,221129,244.6501
675,192,221321,254.5722
676,131,221452,65.1083
677,204,221656,281.5972
678,189,221845,258.0752
679,129,221974,6.1262
680,260,222234,237.4899
681,236,222470,244.3634
682,260,222730,248.2588
683,861,223591,-151.0829
684,254,223845,267.3838
685,263,224108,259.6318
686,170,224278,277.3961
687,537,224815,-141.6391
688,208,225023,252.6087
689,127,225150,5.4708
690,234,225384,296.4199
691,247,225631,280.5196
692,243,225874,250.3157
693,225,226099,274.7778
694,342,226441,232.3507
695,190,226631,260.1307
696,276,226907,262.3782
697,356,227263,249.5275
698,266,227529,305.7285
699,259,227788,269.1322
700,185,227973,279.2675
701,202,228175,232.9397
702,263,228438,276.2782
703,311,228749,276.1021
704,694,229443,230.2199
705,182,229625,291.3837
706,265,229890,259.4352
707,242,230132,254.2007
708,208,230340,278.3531
709,212,230552,285.1711
710,182,230734,274.4106
711,253,230987,255.6226
712,174,231161,268.6983
713,181,231342,255.4230
714,208,231550,42.2612
715,244,231794,259.6175
716,307,232101,237.4556
717,113,232214,32.5877
718,291,232505,238.1990
719,194,232699,254.4885
720,341,233040,260.9735
721,162,233202,279.8036
722,193,233395,264.8012
723,201,233596,281.7629
724,216,233812,277.9517
725,185,233997,254.0585
726,348,234345,239.7080
727,487,234832,178.2743
728,173,235005,265.5784
729,227,235232,271.5942
730,237,235469,244.1554
731,299,235768,264.5381
732,805,236573,140.3916
733,250,236823,273.5746
734,209,237032,226.2273
735,184,237216,287.4382
736,456,237672,242.5123
737,245,237917,285.5931
738,248,238165,272.8458
739,193,238358,252.1093
740,146,238504,269.0027
741,182,238686,304.4444
742,211,238897,255.0183
743,219,239116,252.8216
744,107,239223,6.2608
745,247,239470,305.5595
746,187,239657,266.5329
747,580,240237,264.9351
748,204,240441,258.7134
749,256,240697,236.8184
750,245,240942,279.0203
751,245,241187,296.1565
752,181,241368,276.2322
753,238,241606,284.7721
754,321,241927,233.5674
755,225,242152,269.9751
756,172,242324,257.0265
757,253,242577,265.4968
758,262,242839,268.1967
759,104,242943,16.5880
760,93,243036,37.2243
761,231,243267,256.3689
762,281,243548,302.5498
763,212,243760,272.0273
764,233,243993,254.5058
765,167,244160,248.9729
766,243,244403,279.5513
767,240,244643,269.5513
768,242,244885,228.2556
769,225,245110,269.9371
770,250,245360,292.5594
771,200,245560,262.9407
772,192,245752,253.0044
773,182,245934,259.2400
774,214,246148,267.0325
775,210,246358,225.6872
776,198,246556,248.6906
777,196,246752,249.0477
778,301,247053,252.2772
779,164,247217,247.6470
780,195,247412,241.6467
781,471,247883,246.0812
782,199,248082,279.6673
783,204,248286,271.8146
784,596,248882,257.6210
785,224,249106,262.6431
786,356,249462,282.9011
787,213,249675,253.2687
788,286,249961,289.1019
789,178,250139,271.5398
790,193,250332,267.6266
791,370,250702,188.1596
792,138,250840,51.2230
793,251,251091,260.4507
794,261,251352,255.4644
795,193,251545,250.7523
796,199,251744,248.4786
797,209,251953,264.7011
798,264,252217,218.1215
799,203,252420,262.6080
800,160,252580,244.4021
801,227,252807,269.1857
802,156,252963,259.2363
803,201,253164,279.0560
804,191,253355,263.2718
805,260,253615,281.8364
806,142,253757,281.7135
807,91,253848,0.8369
808,224,254072,300.7127
809,157,254229,276.8200
810,203,254432,256.8111
811,242,254674,275.5767
812,175,254849,249.2992
813,234,255083,269.3230
814,283,255366,299.1399
815,282,255648,279.0307
816,279,255927,295.5251
817,196,256123,262.9220
818,176,256299,285.3438
819,255,256554,305.0822
820,347,256901,282.6782
821,846,257747,157.0062
822,183,257930,240.8725
823,216,258146,249.2859
824,201,258347,282.2360
825,321,258668,266.5758
826,281,258949,262.4820
827,179,259128,273.1190
828,598,259726,259.6524
829,286,260012,214.3014
830,277,260289,273.5076
831,215,260504,246.9022
832,258,260762,307.9358
