C:\Users\mohamedosama\AppData\Local\anaconda3\envs\deep_rl\lib\site-packages\gymnasium\core.py:311: UserWarning: [33mWARN: env.seed to get variables from other wrappers is deprecated and will be removed in v1.0, to get this variable you can do `env.unwrapped.seed` for environment variables or `env.get_wrapper_attr('seed')` that will search the reminding wrappers.[0m
  logger.warn(
--------------------------------------------------
Env:        Walker2d-v4
  ob_dim    = 17
  ac_dim    = 6
  max_action= 1.0
Logdir:     C:\Users\mohamedosama\Downloads\CS515-Deep-RL\TD3_algorithm\runs\td3_sweep_walker2d-v4_seed1_Walker2d-v4_11-05-2026_14-02-46
Rendering:  off
--------------------------------------------------
C:\Users\mohamedosama\AppData\Local\anaconda3\envs\deep_rl\lib\site-packages\gymnasium\core.py:311: UserWarning: [33mWARN: env.seed to get variables from other wrappers is deprecated and will be removed in v1.0, to get this variable you can do `env.unwrapped.seed` for environment variables or `env.get_wrapper_attr('seed')` that will search the reminding wrappers.[0m
  logger.warn(
---------------------------------------
Evaluation over 10 episodes: 3.984
---------------------------------------
Total T:    6127 | Ep:  292 | Steps:   19 | Reward:     3.02
Total T:    6143 | Ep:  293 | Steps:   16 | Reward:    -1.52
Total T:    6159 | Ep:  294 | Steps:   16 | Reward:     2.83
Total T:    6200 | Ep:  295 | Steps:   41 | Reward:    19.26
Total T:    6222 | Ep:  296 | Steps:   22 | Reward:    -2.12
Total T:    6241 | Ep:  297 | Steps:   19 | Reward:     2.44
Total T:    6255 | Ep:  298 | Steps:   14 | Reward:    -3.15
Total T:    6269 | Ep:  299 | Steps:   14 | Reward:    -1.55
Total T:    6282 | Ep:  300 | Steps:   13 | Reward:    -0.95
Total T:    6310 | Ep:  301 | Steps:   28 | Reward:    12.75
Total T:    6327 | Ep:  302 | Steps:   17 | Reward:    -5.97
Total T:    6377 | Ep:  303 | Steps:   50 | Reward:    17.60
Total T:    6395 | Ep:  304 | Steps:   18 | Reward:    -0.77
Total T:    6410 | Ep:  305 | Steps:   15 | Reward:     2.01
Total T:    6442 | Ep:  306 | Steps:   32 | Reward:    14.16
Total T:    6461 | Ep:  307 | Steps:   19 | Reward:    -0.43
Total T:    6489 | Ep:  308 | Steps:   28 | Reward:     3.70
Total T:    6501 | Ep:  309 | Steps:   12 | Reward:     1.11
Total T:    6523 | Ep:  310 | Steps:   22 | Reward:    -4.36
Total T:    6561 | Ep:  311 | Steps:   38 | Reward:    32.34
Total T:    6575 | Ep:  312 | Steps:   14 | Reward:     4.60
Total T:    6593 | Ep:  313 | Steps:   18 | Reward:     0.73
Total T:    6617 | Ep:  314 | Steps:   24 | Reward:     1.36
Total T:    6645 | Ep:  315 | Steps:   28 | Reward:    -4.12
Total T:    6678 | Ep:  316 | Steps:   33 | Reward:     7.11
Total T:    6688 | Ep:  317 | Steps:   10 | Reward:     0.15
Total T:    6709 | Ep:  318 | Steps:   21 | Reward:     0.55
Total T:    6751 | Ep:  319 | Steps:   42 | Reward:     7.74
Total T:    6778 | Ep:  320 | Steps:   27 | Reward:     7.89
Total T:    6801 | Ep:  321 | Steps:   23 | Reward:    -1.24
Total T:    6812 | Ep:  322 | Steps:   11 | Reward:     0.33
Total T:    6835 | Ep:  323 | Steps:   23 | Reward:     0.33
Total T:    6858 | Ep:  324 | Steps:   23 | Reward:     4.98
Total T:    6885 | Ep:  325 | Steps:   27 | Reward:     6.56
Total T:    6904 | Ep:  326 | Steps:   19 | Reward:     1.97
Total T:    6923 | Ep:  327 | Steps:   19 | Reward:     2.90
Total T:    6940 | Ep:  328 | Steps:   17 | Reward:     0.87
Total T:    6972 | Ep:  329 | Steps:   32 | Reward:     2.11
Total T:    6989 | Ep:  330 | Steps:   17 | Reward:    -2.76
Total T:    7015 | Ep:  331 | Steps:   26 | Reward:     5.16
Total T:    7045 | Ep:  332 | Steps:   30 | Reward:     7.89
Total T:    7064 | Ep:  333 | Steps:   19 | Reward:     4.42
Total T:    7074 | Ep:  334 | Steps:   10 | Reward:    -0.41
Total T:    7097 | Ep:  335 | Steps:   23 | Reward:     9.47
Total T:    7123 | Ep:  336 | Steps:   26 | Reward:     2.30
Total T:    7169 | Ep:  337 | Steps:   46 | Reward:    24.10
Total T:    7210 | Ep:  338 | Steps:   41 | Reward:     4.93
Total T:    7239 | Ep:  339 | Steps:   29 | Reward:    15.16
Total T:    7258 | Ep:  340 | Steps:   19 | Reward:     1.70
Total T:    7273 | Ep:  341 | Steps:   15 | Reward:     1.80
Total T:    7294 | Ep:  342 | Steps:   21 | Reward:     0.46
Total T:    7318 | Ep:  343 | Steps:   24 | Reward:     8.20
Total T:    7331 | Ep:  344 | Steps:   13 | Reward:    -1.74
Total T:    7356 | Ep:  345 | Steps:   25 | Reward:    -2.53
Total T:    7370 | Ep:  346 | Steps:   14 | Reward:     4.52
Total T:    7387 | Ep:  347 | Steps:   17 | Reward:    -0.10
