C:\Users\mohamedosama\AppData\Local\anaconda3\envs\deep_rl\lib\site-packages\gymnasium\core.py:311: UserWarning: [33mWARN: env.seed to get variables from other wrappers is deprecated and will be removed in v1.0, to get this variable you can do `env.unwrapped.seed` for environment variables or `env.get_wrapper_attr('seed')` that will search the reminding wrappers.[0m
  logger.warn(
--------------------------------------------------
Env:        Walker2d-v4
  ob_dim    = 17
  ac_dim    = 6
  max_action= 1.0
Logdir:     C:\Users\mohamedosama\Downloads\CS515-Deep-RL\TD3_algorithm\runs\td3_sweep_walker2d-v4_seed2_Walker2d-v4_11-05-2026_14-02-59
Rendering:  off
--------------------------------------------------
C:\Users\mohamedosama\AppData\Local\anaconda3\envs\deep_rl\lib\site-packages\gymnasium\core.py:311: UserWarning: [33mWARN: env.seed to get variables from other wrappers is deprecated and will be removed in v1.0, to get this variable you can do `env.unwrapped.seed` for environment variables or `env.get_wrapper_attr('seed')` that will search the reminding wrappers.[0m
  logger.warn(
---------------------------------------
Evaluation over 10 episodes: -5.197
---------------------------------------
Total T:    4448 | Ep:  209 | Steps:   24 | Reward:     0.33
Total T:    4464 | Ep:  210 | Steps:   16 | Reward:     0.73
Total T:    4483 | Ep:  211 | Steps:   19 | Reward:    -2.73
Total T:    4541 | Ep:  212 | Steps:   58 | Reward:    -8.75
Total T:    4555 | Ep:  213 | Steps:   14 | Reward:    -3.12
Total T:    4569 | Ep:  214 | Steps:   14 | Reward:    -1.22
Total T:    4590 | Ep:  215 | Steps:   21 | Reward:     3.51
Total T:    4599 | Ep:  216 | Steps:    9 | Reward:    -3.25
Total T:    4625 | Ep:  217 | Steps:   26 | Reward:    14.81
Total T:    4650 | Ep:  218 | Steps:   25 | Reward:    -8.81
Total T:    4661 | Ep:  219 | Steps:   11 | Reward:    -4.41
Total T:    4683 | Ep:  220 | Steps:   22 | Reward:    -6.12
Total T:    4693 | Ep:  221 | Steps:   10 | Reward:    -4.47
Total T:    4709 | Ep:  222 | Steps:   16 | Reward:     3.82
Total T:    4724 | Ep:  223 | Steps:   15 | Reward:    -2.37
Total T:    4739 | Ep:  224 | Steps:   15 | Reward:     2.30
Total T:    4770 | Ep:  225 | Steps:   31 | Reward:    12.88
Total T:    4783 | Ep:  226 | Steps:   13 | Reward:     0.52
Total T:    4803 | Ep:  227 | Steps:   20 | Reward:     8.41
Total T:    4824 | Ep:  228 | Steps:   21 | Reward:     3.70
Total T:    4847 | Ep:  229 | Steps:   23 | Reward:     9.21
Total T:    4871 | Ep:  230 | Steps:   24 | Reward:    -5.85
Total T:    4888 | Ep:  231 | Steps:   17 | Reward:     4.07
Total T:    4920 | Ep:  232 | Steps:   32 | Reward:     9.69
Total T:    4942 | Ep:  233 | Steps:   22 | Reward:     8.33
Total T:    4961 | Ep:  234 | Steps:   19 | Reward:     2.47
Total T:    4974 | Ep:  235 | Steps:   13 | Reward:     0.64
Total T:    4994 | Ep:  236 | Steps:   20 | Reward:     1.39
Total T:    5004 | Ep:  237 | Steps:   10 | Reward:    -1.32
Total T:    5021 | Ep:  238 | Steps:   17 | Reward:     3.11
Total T:    5043 | Ep:  239 | Steps:   22 | Reward:    -3.91
Total T:    5063 | Ep:  240 | Steps:   20 | Reward:    -2.38
Total T:    5079 | Ep:  241 | Steps:   16 | Reward:     4.64
Total T:    5095 | Ep:  242 | Steps:   16 | Reward:     0.61
Total T:    5114 | Ep:  243 | Steps:   19 | Reward:     5.85
Total T:    5133 | Ep:  244 | Steps:   19 | Reward:    -5.30
Total T:    5145 | Ep:  245 | Steps:   12 | Reward:     1.62
Total T:    5162 | Ep:  246 | Steps:   17 | Reward:     1.55
Total T:    5177 | Ep:  247 | Steps:   15 | Reward:     4.00
Total T:    5200 | Ep:  248 | Steps:   23 | Reward:    -0.96
Total T:    5227 | Ep:  249 | Steps:   27 | Reward:     4.45
Total T:    5252 | Ep:  250 | Steps:   25 | Reward:    -2.02
Total T:    5277 | Ep:  251 | Steps:   25 | Reward:     2.40
Total T:    5297 | Ep:  252 | Steps:   20 | Reward:     0.77
Total T:    5349 | Ep:  253 | Steps:   52 | Reward:    15.54
