C:\Users\mohamedosama\AppData\Local\anaconda3\envs\deep_rl\lib\site-packages\gymnasium\core.py:311: UserWarning: [33mWARN: env.seed to get variables from other wrappers is deprecated and will be removed in v1.0, to get this variable you can do `env.unwrapped.seed` for environment variables or `env.get_wrapper_attr('seed')` that will search the reminding wrappers.[0m
  logger.warn(
--------------------------------------------------
Env:        Walker2d-v4
  ob_dim    = 17
  ac_dim    = 6
  max_action= 1.0
Logdir:     C:\Users\mohamedosama\Downloads\CS515-Deep-RL\TD3_algorithm\runs\td3_sweep_walker2d-v4_seed0_Walker2d-v4_11-05-2026_13-56-27
Rendering:  off
--------------------------------------------------
C:\Users\mohamedosama\AppData\Local\anaconda3\envs\deep_rl\lib\site-packages\gymnasium\core.py:311: UserWarning: [33mWARN: env.seed to get variables from other wrappers is deprecated and will be removed in v1.0, to get this variable you can do `env.unwrapped.seed` for environment variables or `env.get_wrapper_attr('seed')` that will search the reminding wrappers.[0m
  logger.warn(
---------------------------------------
Evaluation over 10 episodes: 8.791
---------------------------------------
Total T:    4474 | Ep:  216 | Steps:   26 | Reward:    -1.57
Total T:    4490 | Ep:  217 | Steps:   16 | Reward:     3.57
Total T:    4503 | Ep:  218 | Steps:   13 | Reward:    -3.83
Total T:    4522 | Ep:  219 | Steps:   19 | Reward:     5.32
Total T:    4535 | Ep:  220 | Steps:   13 | Reward:    -2.45
Total T:    4553 | Ep:  221 | Steps:   18 | Reward:     3.11
Total T:    4576 | Ep:  222 | Steps:   23 | Reward:    -4.34
Total T:    4598 | Ep:  223 | Steps:   22 | Reward:     9.88
Total T:    4609 | Ep:  224 | Steps:   11 | Reward:    -1.34
Total T:    4625 | Ep:  225 | Steps:   16 | Reward:     5.38
Total T:    4642 | Ep:  226 | Steps:   17 | Reward:     1.55
Total T:    4670 | Ep:  227 | Steps:   28 | Reward:     1.81
Total T:    4704 | Ep:  228 | Steps:   34 | Reward:     7.79
Total T:    4727 | Ep:  229 | Steps:   23 | Reward:    -0.16
Total T:    4748 | Ep:  230 | Steps:   21 | Reward:    -6.17
Total T:    4763 | Ep:  231 | Steps:   15 | Reward:    -2.92
Total T:    4795 | Ep:  232 | Steps:   32 | Reward:    13.52
Total T:    4807 | Ep:  233 | Steps:   12 | Reward:    -2.95
Total T:    4820 | Ep:  234 | Steps:   13 | Reward:    -5.71
Total T:    4838 | Ep:  235 | Steps:   18 | Reward:     5.91
Total T:    4852 | Ep:  236 | Steps:   14 | Reward:     1.99
Total T:    4868 | Ep:  237 | Steps:   16 | Reward:     2.03
Total T:    4886 | Ep:  238 | Steps:   18 | Reward:    -5.50
Total T:    4909 | Ep:  239 | Steps:   23 | Reward:    -2.46
Total T:    4923 | Ep:  240 | Steps:   14 | Reward:    -3.88
Total T:    4937 | Ep:  241 | Steps:   14 | Reward:    -2.08
Total T:    4950 | Ep:  242 | Steps:   13 | Reward:     1.72
Total T:    4967 | Ep:  243 | Steps:   17 | Reward:     2.99
Total T:    4986 | Ep:  244 | Steps:   19 | Reward:    -2.05
Total T:    5001 | Ep:  245 | Steps:   15 | Reward:     3.62
Total T:    5013 | Ep:  246 | Steps:   12 | Reward:    -0.64
Total T:    5034 | Ep:  247 | Steps:   21 | Reward:    -6.66
Total T:    5053 | Ep:  248 | Steps:   19 | Reward:     4.70
Total T:    5079 | Ep:  249 | Steps:   26 | Reward:     4.81
Total T:    5102 | Ep:  250 | Steps:   23 | Reward:    -0.52
Total T:    5120 | Ep:  251 | Steps:   18 | Reward:    -9.96
Total T:    5138 | Ep:  252 | Steps:   18 | Reward:     5.81
Total T:    5195 | Ep:  253 | Steps:   57 | Reward:    -6.06
Total T:    5211 | Ep:  254 | Steps:   16 | Reward:     0.04
Total T:    5224 | Ep:  255 | Steps:   13 | Reward:    -0.37
Total T:    5244 | Ep:  256 | Steps:   20 | Reward:    -4.00
Total T:    5263 | Ep:  257 | Steps:   19 | Reward:     6.61
Total T:    5275 | Ep:  258 | Steps:   12 | Reward:     2.51
Total T:    5286 | Ep:  259 | Steps:   11 | Reward:     1.02
Total T:    5312 | Ep:  260 | Steps:   26 | Reward:     7.77
Total T:    5325 | Ep:  261 | Steps:   13 | Reward:    -6.18
Total T:    5359 | Ep:  262 | Steps:   34 | Reward:    11.70
Total T:    5369 | Ep:  263 | Steps:   10 | Reward:     1.17
Total T:    5386 | Ep:  264 | Steps:   17 | Reward:     6.59
Total T:    5416 | Ep:  265 | Steps:   30 | Reward:     5.53
Total T:    5431 | Ep:  266 | Steps:   15 | Reward:     5.94
Total T:    5448 | Ep:  267 | Steps:   17 | Reward:     3.36
Total T:    5462 | Ep:  268 | Steps:   14 | Reward:     2.10
Total T:    5482 | Ep:  269 | Steps:   20 | Reward:     2.18
Total T:    5495 | Ep:  270 | Steps:   13 | Reward:    -2.37
Total T:    5512 | Ep:  271 | Steps:   17 | Reward:    -5.91
Total T:    5527 | Ep:  272 | Steps:   15 | Reward:     0.26
Total T:    5544 | Ep:  273 | Steps:   17 | Reward:     3.58
Total T:    5558 | Ep:  274 | Steps:   14 | Reward:     3.43
Total T:    5579 | Ep:  275 | Steps:   21 | Reward:     6.18
Total T:    5608 | Ep:  276 | Steps:   29 | Reward:     8.74
Total T:    5621 | Ep:  277 | Steps:   13 | Reward:    -0.60
Total T:    5648 | Ep:  278 | Steps:   27 | Reward:     9.13
Total T:    5668 | Ep:  279 | Steps:   20 | Reward:     4.37
Total T:    5690 | Ep:  280 | Steps:   22 | Reward:     2.60
Total T:    5733 | Ep:  281 | Steps:   43 | Reward:    21.76
Total T:    5762 | Ep:  282 | Steps:   29 | Reward:     0.82
Total T:    5783 | Ep:  283 | Steps:   21 | Reward:     8.65
Total T:    5818 | Ep:  284 | Steps:   35 | Reward:     5.66
Total T:    5844 | Ep:  285 | Steps:   26 | Reward:    -5.55
Total T:    5863 | Ep:  286 | Steps:   19 | Reward:    -8.47
Total T:    5875 | Ep:  287 | Steps:   12 | Reward:    -1.06
Total T:    5906 | Ep:  288 | Steps:   31 | Reward:     9.26
Total T:    5936 | Ep:  289 | Steps:   30 | Reward:    23.01
Total T:    5948 | Ep:  290 | Steps:   12 | Reward:    -1.14
Total T:    5958 | Ep:  291 | Steps:   10 | Reward:     0.29
Total T:    5976 | Ep:  292 | Steps:   18 | Reward:     7.54
Total T:    5990 | Ep:  293 | Steps:   14 | Reward:    -0.25
Total T:    6005 | Ep:  294 | Steps:   15 | Reward:     5.32
Total T:    6025 | Ep:  295 | Steps:   20 | Reward:     5.53
Total T:    6047 | Ep:  296 | Steps:   22 | Reward:     9.08
Total T:    6062 | Ep:  297 | Steps:   15 | Reward:     2.10
Total T:    6075 | Ep:  298 | Steps:   13 | Reward:     0.03
Total T:    6085 | Ep:  299 | Steps:   10 | Reward:    -5.71
Total T:    6103 | Ep:  300 | Steps:   18 | Reward:     3.44
Total T:    6118 | Ep:  301 | Steps:   15 | Reward:     1.68
Total T:    6132 | Ep:  302 | Steps:   14 | Reward:     3.82
Total T:    6169 | Ep:  303 | Steps:   37 | Reward:     2.73
Total T:    6180 | Ep:  304 | Steps:   11 | Reward:    -4.13
Total T:    6191 | Ep:  305 | Steps:   11 | Reward:    -0.30
Total T:    6209 | Ep:  306 | Steps:   18 | Reward:     7.66
Total T:    6225 | Ep:  307 | Steps:   16 | Reward:    -1.52
Total T:    6250 | Ep:  308 | Steps:   25 | Reward:     3.57
Total T:    6274 | Ep:  309 | Steps:   24 | Reward:    -3.69
Total T:    6294 | Ep:  310 | Steps:   20 | Reward:    -2.91
Total T:    6324 | Ep:  311 | Steps:   30 | Reward:     1.87
Total T:    6338 | Ep:  312 | Steps:   14 | Reward:    -6.25
Total T:    6349 | Ep:  313 | Steps:   11 | Reward:     0.78
Total T:    6363 | Ep:  314 | Steps:   14 | Reward:     3.26
Total T:    6385 | Ep:  315 | Steps:   22 | Reward:    -6.09
Total T:    6406 | Ep:  316 | Steps:   21 | Reward:     7.74
Total T:    6421 | Ep:  317 | Steps:   15 | Reward:    -1.72
Total T:    6432 | Ep:  318 | Steps:   11 | Reward:    -1.49
Total T:    6459 | Ep:  319 | Steps:   27 | Reward:     9.91
Total T:    6470 | Ep:  320 | Steps:   11 | Reward:     1.93
Total T:    6494 | Ep:  321 | Steps:   24 | Reward:     8.25
Total T:    6559 | Ep:  322 | Steps:   65 | Reward:     8.90
Total T:    6581 | Ep:  323 | Steps:   22 | Reward:     3.03
Total T:    6597 | Ep:  324 | Steps:   16 | Reward:    -2.11
Total T:    6613 | Ep:  325 | Steps:   16 | Reward:    -3.13
Total T:    6638 | Ep:  326 | Steps:   25 | Reward:     0.23
Total T:    6653 | Ep:  327 | Steps:   15 | Reward:     1.03
Total T:    6677 | Ep:  328 | Steps:   24 | Reward:     2.53
Total T:    6704 | Ep:  329 | Steps:   27 | Reward:     7.95
Total T:    6717 | Ep:  330 | Steps:   13 | Reward:    -3.42
