/home/naida/anaconda3/envs/deep_rl/lib/python3.10/site-packages/gymnasium/core.py:311: UserWarning: [33mWARN: env.seed to get variables from other wrappers is deprecated and will be removed in v1.0, to get this variable you can do `env.unwrapped.seed` for environment variables or `env.get_wrapper_attr('seed')` that will search the reminding wrappers.[0m
  logger.warn(
--------------------------------------------------
Env:        Hopper-v4
  ob_dim    = 11
  ac_dim    = 3
  max_action= 1.0
Logdir:     /home/naida/Desktop/CS515-Deep-RL/TD3_algorithm/runs/td3_sweep_hopper-v4_seed0_Hopper-v4_10-05-2026_21-26-23
Rendering:  off
--------------------------------------------------
/home/naida/anaconda3/envs/deep_rl/lib/python3.10/site-packages/gymnasium/core.py:311: UserWarning: [33mWARN: env.seed to get variables from other wrappers is deprecated and will be removed in v1.0, to get this variable you can do `env.unwrapped.seed` for environment variables or `env.get_wrapper_attr('seed')` that will search the reminding wrappers.[0m
  logger.warn(
---------------------------------------
Evaluation over 10 episodes: 18.670
---------------------------------------
Total T:    4276 | Ep:  187 | Steps:   33 | Reward:    29.73
Total T:    4292 | Ep:  188 | Steps:   16 | Reward:    11.82
Total T:    4317 | Ep:  189 | Steps:   25 | Reward:     7.77
Total T:    4336 | Ep:  190 | Steps:   19 | Reward:    16.48
Total T:    4363 | Ep:  191 | Steps:   27 | Reward:    13.06
Total T:    4384 | Ep:  192 | Steps:   21 | Reward:    21.54
Total T:    4410 | Ep:  193 | Steps:   26 | Reward:    20.35
Total T:    4441 | Ep:  194 | Steps:   31 | Reward:    12.66
Total T:    4478 | Ep:  195 | Steps:   37 | Reward:    31.04
Total T:    4531 | Ep:  196 | Steps:   53 | Reward:    84.72
Total T:    4541 | Ep:  197 | Steps:   10 | Reward:     4.64
Total T:    4573 | Ep:  198 | Steps:   32 | Reward:    14.99
Total T:    4582 | Ep:  199 | Steps:    9 | Reward:     5.40
Total T:    4597 | Ep:  200 | Steps:   15 | Reward:    10.89
Total T:    4615 | Ep:  201 | Steps:   18 | Reward:     8.88
Total T:    4664 | Ep:  202 | Steps:   49 | Reward:    78.41
Total T:    4686 | Ep:  203 | Steps:   22 | Reward:    23.37
Total T:    4713 | Ep:  204 | Steps:   27 | Reward:    35.13
Total T:    4734 | Ep:  205 | Steps:   21 | Reward:    17.29
Total T:    4753 | Ep:  206 | Steps:   19 | Reward:    14.93
Total T:    4783 | Ep:  207 | Steps:   30 | Reward:    26.33
Total T:    4801 | Ep:  208 | Steps:   18 | Reward:     8.32
Total T:    4832 | Ep:  209 | Steps:   31 | Reward:    11.18
Total T:    4855 | Ep:  210 | Steps:   23 | Reward:    20.45
Total T:    4874 | Ep:  211 | Steps:   19 | Reward:    21.11
Total T:    4899 | Ep:  212 | Steps:   25 | Reward:     9.68
Total T:    4917 | Ep:  213 | Steps:   18 | Reward:    18.47
Total T:    4926 | Ep:  214 | Steps:    9 | Reward:     6.61
Total T:    4938 | Ep:  215 | Steps:   12 | Reward:     9.49
Total T:    4949 | Ep:  216 | Steps:   11 | Reward:     9.46
Total T:    4963 | Ep:  217 | Steps:   14 | Reward:     7.76
Total T:    4991 | Ep:  218 | Steps:   28 | Reward:    11.63
Total T:    5014 | Ep:  219 | Steps:   23 | Reward:    17.21
Total T:    5042 | Ep:  220 | Steps:   28 | Reward:    24.65
Total T:    5066 | Ep:  221 | Steps:   24 | Reward:    20.96
Total T:    5074 | Ep:  222 | Steps:    8 | Reward:     4.64
Total T:    5087 | Ep:  223 | Steps:   13 | Reward:     8.58
Total T:    5114 | Ep:  224 | Steps:   27 | Reward:    24.82
Total T:    5153 | Ep:  225 | Steps:   39 | Reward:    32.43
Total T:    5166 | Ep:  226 | Steps:   13 | Reward:    10.45
Total T:    5194 | Ep:  227 | Steps:   28 | Reward:    11.56
Total T:    5213 | Ep:  228 | Steps:   19 | Reward:    12.54
Total T:    5224 | Ep:  229 | Steps:   11 | Reward:     8.18
Total T:    5242 | Ep:  230 | Steps:   18 | Reward:    12.66
Total T:    5259 | Ep:  231 | Steps:   17 | Reward:    15.75
Total T:    5276 | Ep:  232 | Steps:   17 | Reward:    17.33
Total T:    5307 | Ep:  233 | Steps:   31 | Reward:    17.45
Total T:    5320 | Ep:  234 | Steps:   13 | Reward:     6.53
Total T:    5337 | Ep:  235 | Steps:   17 | Reward:    19.78
Total T:    5350 | Ep:  236 | Steps:   13 | Reward:    10.29
Total T:    5436 | Ep:  237 | Steps:   86 | Reward:   108.87
Total T:    5473 | Ep:  238 | Steps:   37 | Reward:    19.20
Total T:    5502 | Ep:  239 | Steps:   29 | Reward:    30.15
Total T:    5524 | Ep:  240 | Steps:   22 | Reward:    20.99
Total T:    5546 | Ep:  241 | Steps:   22 | Reward:     9.44
Total T:    5560 | Ep:  242 | Steps:   14 | Reward:    11.65
Total T:    5572 | Ep:  243 | Steps:   12 | Reward:     9.49
Total T:    5581 | Ep:  244 | Steps:    9 | Reward:     6.53
Total T:    5597 | Ep:  245 | Steps:   16 | Reward:    13.21
Total T:    5647 | Ep:  246 | Steps:   50 | Reward:    77.71
Total T:    5670 | Ep:  247 | Steps:   23 | Reward:    15.67
Total T:    5686 | Ep:  248 | Steps:   16 | Reward:    11.00
Total T:    5719 | Ep:  249 | Steps:   33 | Reward:    26.02
Total T:    5735 | Ep:  250 | Steps:   16 | Reward:    12.84
Total T:    5788 | Ep:  251 | Steps:   53 | Reward:    69.33
Total T:    5808 | Ep:  252 | Steps:   20 | Reward:     9.16
Total T:    5818 | Ep:  253 | Steps:   10 | Reward:     7.29
Total T:    5856 | Ep:  254 | Steps:   38 | Reward:    41.28
Total T:    5881 | Ep:  255 | Steps:   25 | Reward:    26.45
Total T:    5894 | Ep:  256 | Steps:   13 | Reward:    11.76
Total T:    5907 | Ep:  257 | Steps:   13 | Reward:     8.76
Total T:    5925 | Ep:  258 | Steps:   18 | Reward:    11.68
Total T:    5951 | Ep:  259 | Steps:   26 | Reward:    16.20
Total T:    5964 | Ep:  260 | Steps:   13 | Reward:    11.48
Total T:    5986 | Ep:  261 | Steps:   22 | Reward:    24.25
Total T:    6009 | Ep:  262 | Steps:   23 | Reward:    23.89
Total T:    6037 | Ep:  263 | Steps:   28 | Reward:    15.66
Total T:    6051 | Ep:  264 | Steps:   14 | Reward:     9.54
Total T:    6066 | Ep:  265 | Steps:   15 | Reward:     7.52
Total T:    6088 | Ep:  266 | Steps:   22 | Reward:    20.09
Total T:    6107 | Ep:  267 | Steps:   19 | Reward:    12.10
Total T:    6122 | Ep:  268 | Steps:   15 | Reward:    12.68
Total T:    6144 | Ep:  269 | Steps:   22 | Reward:    18.21
Total T:    6157 | Ep:  270 | Steps:   13 | Reward:    10.26
Total T:    6186 | Ep:  271 | Steps:   29 | Reward:    14.35
Total T:    6202 | Ep:  272 | Steps:   16 | Reward:    12.62
Total T:    6213 | Ep:  273 | Steps:   11 | Reward:     9.21
Total T:    6224 | Ep:  274 | Steps:   11 | Reward:     9.16
Total T:    6233 | Ep:  275 | Steps:    9 | Reward:     7.63
Total T:    6275 | Ep:  276 | Steps:   42 | Reward:    12.93
Total T:    6307 | Ep:  277 | Steps:   32 | Reward:    34.36
Total T:    6335 | Ep:  278 | Steps:   28 | Reward:    14.94
Total T:    6373 | Ep:  279 | Steps:   38 | Reward:    11.90
Total T:    6384 | Ep:  280 | Steps:   11 | Reward:     8.51
Total T:    6400 | Ep:  281 | Steps:   16 | Reward:    14.51
Total T:    6414 | Ep:  282 | Steps:   14 | Reward:    12.14
Total T:    6432 | Ep:  283 | Steps:   18 | Reward:    18.80
Total T:    6462 | Ep:  284 | Steps:   30 | Reward:    18.24
Total T:    6483 | Ep:  285 | Steps:   21 | Reward:    16.49
Total T:    6544 | Ep:  286 | Steps:   61 | Reward:    67.95
Total T:    6610 | Ep:  287 | Steps:   66 | Reward:    78.43
Total T:    6624 | Ep:  288 | Steps:   14 | Reward:    11.59
Total T:    6642 | Ep:  289 | Steps:   18 | Reward:    13.12
Total T:    6665 | Ep:  290 | Steps:   23 | Reward:     8.87
Total T:    6678 | Ep:  291 | Steps:   13 | Reward:     9.95
Total T:    6689 | Ep:  292 | Steps:   11 | Reward:     8.69
Total T:    6708 | Ep:  293 | Steps:   19 | Reward:    15.23
Total T:    6725 | Ep:  294 | Steps:   17 | Reward:    10.37
Total T:    6749 | Ep:  295 | Steps:   24 | Reward:    13.52
Total T:    6771 | Ep:  296 | Steps:   22 | Reward:    23.73
Total T:    6803 | Ep:  297 | Steps:   32 | Reward:    34.67
Total T:    6814 | Ep:  298 | Steps:   11 | Reward:     6.49
Total T:    6877 | Ep:  299 | Steps:   63 | Reward:    67.85
Total T:    6895 | Ep:  300 | Steps:   18 | Reward:    18.76
Total T:    6919 | Ep:  301 | Steps:   24 | Reward:    14.80
Total T:    6939 | Ep:  302 | Steps:   20 | Reward:     9.08
Total T:    6961 | Ep:  303 | Steps:   22 | Reward:    14.13
Total T:    6982 | Ep:  304 | Steps:   21 | Reward:     9.04
Total T:    6998 | Ep:  305 | Steps:   16 | Reward:    12.06
Total T:    7010 | Ep:  306 | Steps:   12 | Reward:     6.18
Total T:    7051 | Ep:  307 | Steps:   41 | Reward:    25.50
Total T:    7086 | Ep:  308 | Steps:   35 | Reward:    49.40
Total T:    7100 | Ep:  309 | Steps:   14 | Reward:    11.03
Total T:    7117 | Ep:  310 | Steps:   17 | Reward:     9.38
Total T:    7154 | Ep:  311 | Steps:   37 | Reward:    51.86
Total T:    7196 | Ep:  312 | Steps:   42 | Reward:    27.46
Total T:    7214 | Ep:  313 | Steps:   18 | Reward:     9.54
Total T:    7250 | Ep:  314 | Steps:   36 | Reward:    12.36
Total T:    7273 | Ep:  315 | Steps:   23 | Reward:    23.61
Total T:    7288 | Ep:  316 | Steps:   15 | Reward:    11.36
Total T:    7335 | Ep:  317 | Steps:   47 | Reward:    72.34
Total T:    7348 | Ep:  318 | Steps:   13 | Reward:     9.05
Total T:    7361 | Ep:  319 | Steps:   13 | Reward:     8.51
Total T:    7374 | Ep:  320 | Steps:   13 | Reward:    11.40
Total T:    7389 | Ep:  321 | Steps:   15 | Reward:    12.71
Total T:    7401 | Ep:  322 | Steps:   12 | Reward:     9.52
Total T:    7411 | Ep:  323 | Steps:   10 | Reward:     6.18
Total T:    7449 | Ep:  324 | Steps:   38 | Reward:    21.41
Total T:    7533 | Ep:  325 | Steps:   84 | Reward:   108.64
Total T:    7553 | Ep:  326 | Steps:   20 | Reward:    13.09
Total T:    7566 | Ep:  327 | Steps:   13 | Reward:    11.51
Total T:    7606 | Ep:  328 | Steps:   40 | Reward:    57.33
Total T:    7630 | Ep:  329 | Steps:   24 | Reward:     8.11
Total T:    7654 | Ep:  330 | Steps:   24 | Reward:    21.31
Total T:    7665 | Ep:  331 | Steps:   11 | Reward:     7.83
Total T:    7682 | Ep:  332 | Steps:   17 | Reward:    11.42
Total T:    7702 | Ep:  333 | Steps:   20 | Reward:    20.63
Total T:    7712 | Ep:  334 | Steps:   10 | Reward:     7.63
Total T:    7728 | Ep:  335 | Steps:   16 | Reward:     8.80
Total T:    7762 | Ep:  336 | Steps:   34 | Reward:    15.93
Total T:    7771 | Ep:  337 | Steps:    9 | Reward:     7.08
Total T:    7794 | Ep:  338 | Steps:   23 | Reward:    14.98
Total T:    7808 | Ep:  339 | Steps:   14 | Reward:    11.94
Total T:    7825 | Ep:  340 | Steps:   17 | Reward:    12.67
Total T:    7846 | Ep:  341 | Steps:   21 | Reward:    23.41
Total T:    7888 | Ep:  342 | Steps:   42 | Reward:    59.78
Total T:    7902 | Ep:  343 | Steps:   14 | Reward:    13.40
Total T:    7939 | Ep:  344 | Steps:   37 | Reward:     9.39
Total T:    7956 | Ep:  345 | Steps:   17 | Reward:     9.99
Total T:    7976 | Ep:  346 | Steps:   20 | Reward:    18.22
Total T:    7997 | Ep:  347 | Steps:   21 | Reward:    11.59
Total T:    8016 | Ep:  348 | Steps:   19 | Reward:     8.49
Total T:    8030 | Ep:  349 | Steps:   14 | Reward:    12.73
Total T:    8054 | Ep:  350 | Steps:   24 | Reward:    20.88
Total T:    8076 | Ep:  351 | Steps:   22 | Reward:    19.39
Total T:    8107 | Ep:  352 | Steps:   31 | Reward:    37.27
Total T:    8139 | Ep:  353 | Steps:   32 | Reward:    46.31
Total T:    8154 | Ep:  354 | Steps:   15 | Reward:    12.03
